iter	Passed	Remaining
289	537	1315
290	538	1311
291	539	1307
292	540	1303
293	541	1300
294	542	1296
295	543	1293
296	544	1289
297	549	1293
298	550	1290
299	551	1287
300	552	1283
301	553	1280
302	554	1276
303	555	1272
304	556	1268
305	557	1265
306	559	1262
307	560	1259
308	564	1261
309	566	1261
310	582	1289
311	583	1287
312	584	1283
313	586	1280
314	587	1278
315	589	1275
316	590	1272
317	592	1270
318	594	1268
319	595	1266
320	597	1263
321	599	1261
322	609	1277
323	610	1273
324	611	1270
325	613	1267
326	614	1264
327	623	1277
328	629	1283
329	630	1279
330	637	1287
331	638	1284
332	639	1281
333	641	1278
334	642	1274
335	643	1271
336	645	1268
337	646	1266
338	654	1276
339	655	1272
340	656	1269
341	658	1266
342	659	1263
343	660	1260
344	662	1257
345	670	1267
346	676	1273
347	678	1270
348	685	1278
349	687	1276
350	688	1273
351	690	1271
352	691	1267
353	692	1263
354	693	1260
355	701	1269
356	705	1269
357	706	1267
358	708	1264
359	709	1260
360	714	1264
361	718	1265
362	719	1262
363	720	1259
364	721	1255
365	728	1261
366	729	1258
367	731	1255
368	732	1252
369	733	1248
370	734	1245
371	735	1241
372	736	1238
373	743	1244
374	745	1241
375	746	1238
376	747	1234
377	748	1231
378	749	1227
379	750	1223
380	751	1220
381	751	1216
382	757	1220
383	761	1221
384	762	1218
385	763	1215
386	764	1211
387	766	1208
388	767	1205
389	771	1206
390	774	1206
391	775	1202
392	776	1199
393	777	1196
394	778	1192
395	779	1189
396	780	1186
397	781	1182
398	782	1179
399	789	1183
400	790	1180
401	791	1177
402	792	1173
403	793	1170
404	794	1166
405	795	1163
406	795	1159
407	796	1156
408	797	1152
409	798	1149
410	805	1154
411	807	1152
412	808	1149
413	809	1145
414	810	1142
415	811	1139
416	812	1135
417	813	1132
418	818	1134
419	819	1131
420	820	1128
421	821	1125
422	822	1121
423	823	1118
424	824	1115
425	825	1111
426	826	1108
427	826	1105
428	827	1101
429	828	1098
430	835	1102
431	836	1099
432	837	1096
433	838	1093
434	839	1090
435	840	1087
436	841	1084
437	842	1081
438	843	1077
439	844	1074
440	849	1076
441	852	1076
442	854	1073
443	854	1070
444	856	1067
445	856	1064
446	857	1061
447	858	1058
448	859	1055
449	865	1057
450	867	1055
451	867	1052
452	868	1049
453	869	1045
454	870	1042
